0.1,-0.53148283252343
0.12,-0.416794530595836
0.14,-0.304744309335982
0.16,-0.222444721611083
0.19,-0.137888954975438
0.22,-0.0941981511304814
0.26,-0.0622607746055548
0.3,-0.0367285553461155
0.36,-0.0515879861608962
0.4,-0.0597607270760727
0.42,-0.0817450907745297
0.48,-0.142496582908138
0.55,-0.239452832239836
0.667,-0.398898721823093
0.8,-0.5499048038276
0.9,-0.647972305868312
1.1,-0.851571381240434
1.3,-1.05302487458141
1.5,-1.22507039943944
1.7,-1.37908623807546
2,-1.57840355396885
2.4,-1.82076520917392
2.8,-2.02477487531578
3.2,-2.20771163868953
3.8,-2.45132625753481
4.6,-2.73705377561337
5.5,-3.03727835792801
6,-3.19506927870038
7.5,-3.59687748222715
8.5,-3.86830186205755
10,-4.21822818320336
