T,Sa
0.01,0.18001254059014152
0.02,0.18073485694488942
0.03,0.18781490933099385
0.05,0.20979266382245837
0.075,0.26420532519300916
0.1,0.32538888914590575
0.15,0.4056288911030042
0.2,0.43768457141148254
0.25,0.44040062997670665
0.3,0.4267726419707297
0.4,0.375132881519357
0.5,0.3286516026156261
0.75,0.2275720352145682
1.0,0.16624100239443582
1.5,0.09977465482205874
2.0,0.06721459239584206
3.0,0.03772737648211993
4.0,0.02420063712466732
5.0,0.016648498885792427
7.5,0.008112076785240232
10.0,0.004562969323947291
