,e,de,dl,freq,prob,T
1,0.08654800707677426,0.14102427565313863,0.44706661821821275,0.10262270942756187,0.09753259830010641,9.744431866767934
2,0.22757228272991287,0.14102427565313863,0.029531806421478936,0.033558238593095986,0.03300140704610921,29.798941837362474
3,0.36859655838305144,0.14102427565313858,0.010124464748286119,0.01728292840242764,0.017134435291272454,57.8605648716068
4,0.5096208340361902,0.1410242756531387,0.0047848319493249206,0.010500497990672753,0.010445560221104655,95.23357853011039
5,0.6506451096893286,0.14102427565313846,0.0026549955169218337,0.006990666724550138,0.006966288852859215,143.0478721704977
6,0.7916693853424673,0.1410242756531387,0.0016301334437964898,0.004931569588672484,0.004919429364354411,202.77519804180383
7,0.9326936609956059,0.1410242756531388,0.0010728365184803374,0.003618714852538165,0.003612175194710021,276.34119867129084
8,1.0737179366487446,0.14102427565313858,0.0007419422409201525,0.002731208818567226,0.002727482461020725,366.13824369701376
9,1.2147422123018832,0.14101057912891712,0.0005321923217974074,0.0021052738171965374,0.002103059282613673,474.99759500720813
10,1.3544473161288133,0.13841332504916437,0.00038620821031395774,0.0016532624336581155,0.0016518965481469028,604.8646480083233
11,1.492860641177978,0.13841332504916481,0.0002924221503616993,0.0013179774906106202,0.0013171093397207345,758.7382994960703
12,1.6312739662271425,0.13841332504916437,0.00022512876461506842,0.0010618780252733477,0.0010613144323097234,941.7277466897207
13,1.7696872912763069,0.13841332504916437,0.00017569326744746184,0.0008633045676880655,0.0008629320275126418,1158.3397533480052
14,1.9081006163254712,0.1384133250491646,0.00013869469870731886,0.0007074099814099281,0.0007071598259600353,1413.6074218332558
15,2.046513941374636,0.1384133250491646,0.00011057500870264713,0.000583712196480227,0.000583541869658255,1713.1730432051622
16,2.1849272664238004,0.13841332504916437,8.890908962687382e-05,0.000484658632464971,0.00048454120444152426,2063.30793060263
17,2.3246323702507308,0.14206070042167962,7.373528024163877e-05,0.0004040342166970683,0.0004039526058644549,2475.0379019254387
18,2.4677568884893937,0.1431245182386629,6.0239052744944606e-05,0.0003371692530901027,0.00033711241792533375,2965.8694879060254
19,2.6108814067280566,0.1431245182386629,4.912971370316755e-05,0.0002828099097846304,0.000282769922831716,3535.9439871167697
20,2.75400592496672,0.1431245182386629,4.030717112971571e-05,0.00023834118610033486,0.00023831278509622855,4195.665954179772
21,2.8971304432053833,0.14312451823866335,3.3251037392268464e-05,0.00020175594814407619,0.00020173559678149378,4956.483361203749
22,3.040254961444046,0.1431245182386629,2.7571202756805185e-05,0.00017149648809045327,0.00017148178340831155,5831.0231954870405
23,3.183379479682709,0.14312451823866335,2.2971529016404082e-05,0.00014634454120601332,0.00014633383336604133,6833.189620597272
24,3.326503997921372,0.1431245182386629,1.922420825339538e-05,0.00012534120447282653,0.00012533334959219378,7978.22235876787
25,3.469628516160035,0.4597513834444542,4.354226941966729e-05,0.00010772719278001682,0.00010772139041437256,9282.70731088333
26,4.24600676481028,1.2075523371837398,4.845023725228117e-05,5e-05,4.999875002087428e-05,20000.0
27,5.884733190527515,1.6248752330062661,1.72491408682123e-05,1.25e-05,1.2499921875352982e-05,80000.0
28,7.495757230822811,1.9783306827034437,4.9768477079542265e-06,4e-06,3.9999919999589295e-06,250000.0
29,9.841394555934404,2.3456373251115927,1.3856635205303751e-06,1e-06,9.999994999843054e-07,1000000.0
