T,0.01,0.01,0.02,0.02,0.03,0.03,0.05,0.05,0.075,0.075,0.1,0.1,0.15,0.15,0.2,0.2,0.25,0.25,0.3,0.3,0.4,0.4,0.5,0.5,0.75,0.75,1.0,1.0,1.5,1.5,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,7.5,7.5,10.0,10.0
Type,MAPE,MAFE,MAPE,MAFE,MAPE,MAFE,MAPE,MAFE,MAPE,MAFE,MAPE,MAFE,MAPE,MAFE,MAPE,MAFE,MAPE,MAFE,MAPE,MAFE,MAPE,MAFE,MAPE,MAFE,MAPE,MAFE,MAPE,MAFE,MAPE,MAFE,MAPE,MAFE,MAPE,MAFE,MAPE,MAFE,MAPE,MAFE,MAPE,MAFE,MAPE,MAFE
Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0001,0.7993922,1.6064035208602896,0.79939127,1.6063988849595703,0.7993872,1.606378596915705,0.7993798,1.6063417106177145,0.79938936,1.6063893639835518,0.79939926,1.6064387145279053,0.79940355,1.606460100520166,0.79940414,1.606463041753013,0.79940426,1.6064636399709216,0.79940426,1.6064636399709216,0.79940426,1.6064636399709216,0.79940414,1.606463041753013,0.79940253,1.6064550156973452,0.79939055,1.6063952958899028,0.79920894,1.6054904140680433,0.7981784,1.6003711401206735,0.7876517,1.5495274279059499,0.76151973,1.4334686974425492,0.7139274,1.2515096542219217,0.5547579,0.8091370998108727,0.41177973,0.5306537923883473
0.00013,0.79936415,1.6062637055632967,0.7993612,1.6062490024167106,0.7993504,1.606195175792255,0.79933214,1.606104175515254,0.7993597,1.606241526323388,0.79938775,1.6063813385192016,0.7994013,1.6064488840336257,0.7994035,1.606459851263543,0.79940397,1.6064621942782544,0.799404,1.6064623438325716,0.79940397,1.6064621942782544,0.7994036,1.6064603497768515,0.79939795,1.606432184164545,0.79936165,1.6062512452556066,0.7989152,1.6040285693465917,0.7967375,1.593257031830296,0.7789013,1.5091460708284687,0.74079394,1.350131935147687,0.6787682,1.135592298074087,0.50056434,0.6942764979989048,0.36003143,0.44633621320932443
0.00016,0.79930747,1.6059812436034577,0.7993012,1.6059500022709632,0.79927933,1.6058410389462807,0.7992448,1.6056690236264803,0.79930425,1.6059651992884616,0.7993647,1.6062664468518244,0.7993963,1.6064239589584004,0.79940194,1.606452074488105,0.79940313,1.6064580067664616,0.7994033,1.6064588542376712,0.79940325,1.6064586049813585,0.7994022,1.6064533706131445,0.79938793,1.6063822357728876,0.79930556,1.605971726602943,0.79843855,1.6016609813079392,0.7946964,1.5832654197968166,0.76878333,1.4644000427070198,0.71936315,1.2706937942056677,0.64568853,1.0375788939401185,0.45685232,0.610374025491413,0.3212595,0.38751640414870003
0.0002,0.79917127,1.6053028237099563,0.79915804,1.6052369488511022,0.799115,1.6050226739606908,0.7990517,1.6047076179385862,0.7991794,1.605343306785086,0.7993089,1.6059883689563277,0.7993826,1.6063556674353214,0.7993973,1.6064289439237451,0.7994006,1.6064453944856945,0.7994012,1.6064483855260332,0.7994009,1.606446890004745,0.799398,1.6064324334142723,0.7993614,1.6062499992333765,0.7991734,1.6053134298184326,0.7974894,1.5969630481265182,0.7911233,1.5660111532606809,0.75398296,1.4023544771560286,0.69099355,1.1743931285158382,0.60550356,0.9301451628180408,0.41029307,0.5281295943065578,0.28229338,0.3316944006789393
0.00025,0.79888046,1.6038558213345417,0.7988545,1.603726752201236,0.7987764,1.603338551412553,0.7986692,1.6028059525760525,0.798927,1.6040872527788335,0.7991881,1.6053866299723347,0.7993496,1.6061911887501419,0.7993852,1.6063686275118059,0.7993938,1.6064114966537566,0.7993954,1.606419472510837,0.7993946,1.6064154845743448,0.79938704,1.606377799359736,0.7992982,1.6059350546101967,0.7988937,1.60392165499657,0.79578966,1.5886047379028083,0.7855035,1.5394618577635064,0.7344101,1.3258018892113406,0.6570615,1.0702041481839613,0.5614319,0.8242401770615557,0.36519665,0.4544400130911297,0.24646842,0.2829843507122127
0.00032,0.79821485,1.6005517614809417,0.79816455,1.6003025175114294,0.7980271,1.599621748996819,0.79785275,1.5987588867474736,0.79837537,1.6013475776283426,0.7989051,1.6039783430422698,0.7992623,1.6057561982689763,0.79935014,1.6061938800018247,0.79937315,1.6063085639565708,0.7993776,1.6063307446833897,0.7993752,1.6063187819830886,0.79935503,1.6062182511107184,0.7991339,1.6051167620665547,0.7982523,1.6007373721448939,0.7925092,1.572668277643711,0.77600294,1.496122352213231,0.7065266,1.2259682741448417,0.61351275,0.9506563998558388,0.50961983,0.7125743315561743,0.31801233,0.3827437004809908,0.21071635,0.2366295170395323
0.0004,0.7970664,1.594876447043187,0.7969816,1.5944586636538531,0.7967709,1.5934213648697741,0.7965234,1.592204268426069,0.7974554,1.5967951697727538,0.7984016,1.6014776793243546,0.7990881,1.6048887754660024,0.7992741,1.6058149831750221,0.7993265,1.6060760697650753,0.7993369,1.6061278965857655,0.7993305,1.6060960028397777,0.79928404,1.6058645046673847,0.7988102,1.6035065378666795,0.7971347,1.5952130669829896,0.78764933,1.5495162670594804,0.7635605,1.4420629177296083,0.67539155,1.1251355922010406,0.5696121,0.8430683839126505,0.46150067,0.6189690265833108,0.27844763,0.3263503185097825,0.1819556,0.2008386651238205
0.0005,0.79507077,1.5850905789578975,0.7949368,1.5844370546732263,0.7946392,1.5829868468288655,0.79431826,1.5814252563169962,0.79589313,1.5891115497622192,0.797496,1.596995639544213,0.7987395,1.6031551901314323,0.79910916,1.604993603024019,0.7992208,1.605549482187298,0.79924375,1.6056637933895843,0.79922736,1.605582155428196,0.79912645,1.6050796733699286,0.79816955,1.6003272904734274,0.79516447,1.5855479145356721,0.7802593,1.5153070641315143,0.7466201,1.3728653354724485,0.6387411,1.0181604031807723,0.52262294,0.7394486181799911,0.41354012,0.5336510190254915,0.2421916,0.2773246957401484,0.15650763,0.17020442268017968
0.00063,0.79165274,1.568549072148073,0.79145116,1.5675820205699482,0.7910622,1.5657186789667754,0.7906854,1.5639168956324168,0.7932579,1.5762831562074047,0.79588324,1.589063095928217,0.7980509,1.5997395935312964,0.79875606,1.6032374749380758,0.7989842,1.604371767047253,0.79903275,1.604613319521846,0.79899234,1.6044122621964716,0.7987797,1.6033549512138672,0.7969178,1.5941444557924274,0.7917309,1.5689242854542285,0.7690845,1.4657034362476014,0.7235771,1.2858233395799061,0.59556323,0.9052598711423282,0.47217792,0.638996021759891,0.36529064,0.4545880856538246,0.2083167,0.23359384087590743,0.13348931,0.14328083291469398
0.00079,0.7864043,1.5436703031848724,0.7861211,1.542345311985713,0.78566235,1.5402027036465378,0.7852794,1.5384176308659132,0.7892456,1.5570618045007916,0.79330295,1.576501084287889,0.7968362,1.5937427287546355,0.7980832,1.599899547615406,0.79851264,1.6020286290915144,0.7986071,1.602497552546493,0.79851526,1.6020416324731381,0.79809916,1.5999785931965171,0.7947353,1.5834549132385483,0.78636354,1.5434794935785747,0.753789,1.401566387107202,0.69506705,1.187663362607789,0.5491683,0.7966611798566906,0.42252627,0.5490923267983416,0.32044962,0.38632390538735306,0.17880324,0.1969925392908311,0.1140218,0.12106293364590315
0.001,0.77821857,1.5060629316466707,0.77783716,1.5043446524859,0.77735716,1.502186405827174,0.7770569,1.5008386970307643,0.78300714,1.5278908292088071,0.7891056,1.5563977447185997,0.79467124,1.5831428770920406,0.79679143,1.5935223889703083,0.7975658,1.5973403835110274,0.79774153,1.5982088450576377,0.7975403,1.5972144245868067,0.79675233,1.5933299943345631,0.7908953,1.564920195516563,0.77785033,1.504403935084105,0.73239064,1.3182269737612895,0.6589369,1.0756877748288776,0.49798536,0.6891259963690363,0.37201372,0.46523695988634844,0.2770539,0.324420610086492,0.15182194,0.16466468881710167,0.09668406,0.10168290857441867
