archetype,hazard_level,Mbar,Dbar,Ebar
smrf_6_iv,hz_17,7.158085,5.4621444,1.6412101
smrf_6_iv,hz_18,7.161218,5.292929,1.6986259
smrf_6_iv,hz_19,7.1654243,5.069137,1.7820885
smrf_6_iv,hz_20,7.1691117,4.876243,1.8622073
smrf_6_iv,hz_21,7.1718063,4.737295,1.9255123
smrf_6_iv,hz_22,7.1738334,4.633797,1.976195
smrf_6_iv,hz_23,7.175699,4.5392447,2.0254729
smrf_6_iv,hz_24,7.1785917,4.393816,2.1076055
smrf_6_iv,hz_25,7.180726,4.287048,2.1735487
smrf_6_iv,hz_26,7.1880426,3.9156141,2.453019
smrf_6_iv,hz_27,7.1943254,3.500424,2.9211051
smrf_6_iv,hz_28,7.193978,3.294119,3.276066
smrf_6_iv,hz_29,7.188404,3.1357424,3.6610725
smrf_9_ii,hz_1,6.356624,51.66111,-0.469035
smrf_9_ii,hz_2,6.760267,32.739727,-0.18403248
smrf_9_ii,hz_3,6.960904,24.682968,0.025551153
smrf_9_ii,hz_4,7.0637264,19.994642,0.17963709
smrf_9_ii,hz_5,7.1258554,16.43331,0.3214436
smrf_9_ii,hz_6,7.1605277,13.884077,0.4473513
smrf_9_ii,hz_7,7.1808343,12.036664,0.56079984
smrf_9_ii,hz_8,7.195781,10.41965,0.68478
smrf_9_ii,hz_9,7.2054696,9.232702,0.79804736
smrf_9_ii,hz_10,7.212143,8.362863,0.8984464
smrf_9_ii,hz_11,7.2180576,7.5815444,1.0061406
smrf_9_ii,hz_12,7.2225237,7.006621,1.099665
smrf_9_ii,hz_13,7.226383,6.5349073,1.1883403
smrf_9_ii,hz_14,7.230381,6.081914,1.2866355
smrf_9_ii,hz_15,7.2332697,5.7812986,1.3608731
smrf_9_ii,hz_16,7.236341,5.4878407,1.4420278
smrf_9_ii,hz_17,7.2396483,5.2020817,1.5312505
smrf_9_ii,hz_18,7.242226,5.0003023,1.6017033
smrf_9_ii,hz_19,7.244228,4.855612,1.6567795
