T,Sa
0.01,0.8292491608690796
0.02,0.8388742958480709
0.03,0.8744328715400937
0.05,0.910205166355539
0.075,1.1207653821291501
0.1,1.3759704275031626
0.15,1.6770095785888801
0.2,1.8296808208279536
0.25,1.8949639949599972
0.3,1.9043070377531603
0.4,1.831129135269142
0.5,1.7228028423081392
0.75,1.3544450991559562
1.0,1.1070565449956489
1.5,0.7651177154667245
2.0,0.5745359292183758
3.0,0.37527908893808415
4.0,0.2592937889385954
5.0,0.19326799744124226
7.5,0.10266551703689684
10.0,0.06181436407820113
