T,Sa
0.01,0.07086503576169571
0.02,0.07094789702903896
0.03,0.07370675007723135
0.05,0.083009738303389
0.075,0.10593386313476938
0.1,0.13246643772161287
0.15,0.16677698465860077
0.2,0.17893241910607066
0.25,0.17878603921809072
0.3,0.1720679365501182
0.4,0.14866939956845332
0.5,0.1284879336849588
0.75,0.08654792982856253
1.0,0.061018918709551895
1.5,0.034666595945101804
2.0,0.022037803938815402
3.0,0.011190690513533963
4.0,0.006658371954767238
5.0,0.004285125628800535
7.5,0.0018584121431143232
10.0,0.0009875928075949085
