,Tcond,M_bar,Rjb,eps_bar,Vs30,outputDir,outputFile,code,hazard_level
40,0.5,7.053416,7.5277166,1.3704728,260.0,extra/structural_analysis/results/site_hazard/smrf_3_iv/,required_records_hz_12.txt,smrf_3_iv,12
41,0.5,7.065764,7.022618,1.4722768,260.0,extra/structural_analysis/results/site_hazard/smrf_3_iv/,required_records_hz_13.txt,smrf_3_iv,13
42,0.5,7.073994,6.6842766,1.5490673,260.0,extra/structural_analysis/results/site_hazard/smrf_3_iv/,required_records_hz_14.txt,smrf_3_iv,14
43,0.5,7.081185,6.3874383,1.6232651,260.0,extra/structural_analysis/results/site_hazard/smrf_3_iv/,required_records_hz_15.txt,smrf_3_iv,15
44,0.5,7.089806,6.029695,1.7227705,260.0,extra/structural_analysis/results/site_hazard/smrf_3_iv/,required_records_hz_16.txt,smrf_3_iv,16
45,0.5,7.095807,5.779001,1.800269,260.0,extra/structural_analysis/results/site_hazard/smrf_3_iv/,required_records_hz_17.txt,smrf_3_iv,17
46,0.5,7.100209,5.5938916,1.862292,260.0,extra/structural_analysis/results/site_hazard/smrf_3_iv/,required_records_hz_18.txt,smrf_3_iv,18
47,0.5,7.1052413,5.380559,1.9395643,260.0,extra/structural_analysis/results/site_hazard/smrf_3_iv/,required_records_hz_19.txt,smrf_3_iv,19
48,0.5,7.1105337,5.1534333,2.0296707,260.0,extra/structural_analysis/results/site_hazard/smrf_3_iv/,required_records_hz_20.txt,smrf_3_iv,20
49,0.5,7.114306,4.9891505,2.1006553,260.0,extra/structural_analysis/results/site_hazard/smrf_3_iv/,required_records_hz_21.txt,smrf_3_iv,21
50,0.5,7.1170864,4.8663077,2.1573567,260.0,extra/structural_analysis/results/site_hazard/smrf_3_iv/,required_records_hz_22.txt,smrf_3_iv,22
51,0.5,7.119192,4.7720737,2.2031765,260.0,extra/structural_analysis/results/site_hazard/smrf_3_iv/,required_records_hz_23.txt,smrf_3_iv,23
52,0.5,7.1229305,4.6014447,2.2918704,260.0,extra/structural_analysis/results/site_hazard/smrf_3_iv/,required_records_hz_24.txt,smrf_3_iv,24
53,0.5,7.1257725,4.4680157,2.3670235,260.0,extra/structural_analysis/results/site_hazard/smrf_3_iv/,required_records_hz_25.txt,smrf_3_iv,25
54,0.5,7.1348715,4.001798,2.6819658,260.0,extra/structural_analysis/results/site_hazard/smrf_3_iv/,required_records_hz_26.txt,smrf_3_iv,26
55,0.5,7.1423316,3.4697917,3.2117364,260.0,extra/structural_analysis/results/site_hazard/smrf_3_iv/,required_records_hz_27.txt,smrf_3_iv,27
56,0.5,7.1435266,3.2123134,3.6166012,260.0,extra/structural_analysis/results/site_hazard/smrf_3_iv/,required_records_hz_28.txt,smrf_3_iv,28
57,0.5,7.143305,3.1468186,3.7533872,260.0,extra/structural_analysis/results/site_hazard/smrf_3_iv/,required_records_hz_29.txt,smrf_3_iv,29
58,1.0,6.2840405,47.616203,-0.38530666,260.0,extra/structural_analysis/results/site_hazard/smrf_6_ii/,required_records_hz_1.txt,smrf_6_ii,1
59,1.0,6.6582394,29.656725,-0.06127134,260.0,extra/structural_analysis/results/site_hazard/smrf_6_ii/,required_records_hz_2.txt,smrf_6_ii,2
60,1.0,6.8488994,22.78023,0.14843123,260.0,extra/structural_analysis/results/site_hazard/smrf_6_ii/,required_records_hz_3.txt,smrf_6_ii,3
61,1.0,6.9565387,18.671396,0.29436272,260.0,extra/structural_analysis/results/site_hazard/smrf_6_ii/,required_records_hz_4.txt,smrf_6_ii,4
62,1.0,7.025145,15.629733,0.41778794,260.0,extra/structural_analysis/results/site_hazard/smrf_6_ii/,required_records_hz_5.txt,smrf_6_ii,5
63,1.0,7.0697284,13.317596,0.53073955,260.0,extra/structural_analysis/results/site_hazard/smrf_6_ii/,required_records_hz_6.txt,smrf_6_ii,6
64,1.0,7.101468,11.430103,0.6460646,260.0,extra/structural_analysis/results/site_hazard/smrf_6_ii/,required_records_hz_7.txt,smrf_6_ii,7
65,1.0,7.1229367,10.010144,0.7556245,260.0,extra/structural_analysis/results/site_hazard/smrf_6_ii/,required_records_hz_8.txt,smrf_6_ii,8
66,1.0,7.1369057,9.020727,0.8495902,260.0,extra/structural_analysis/results/site_hazard/smrf_6_ii/,required_records_hz_9.txt,smrf_6_ii,9
67,1.0,7.1500278,8.051598,0.9620279,260.0,extra/structural_analysis/results/site_hazard/smrf_6_ii/,required_records_hz_10.txt,smrf_6_ii,10
68,1.0,7.158171,7.4388885,1.04748,260.0,extra/structural_analysis/results/site_hazard/smrf_6_ii/,required_records_hz_11.txt,smrf_6_ii,11
69,1.0,7.166499,6.813265,1.150438,260.0,extra/structural_analysis/results/site_hazard/smrf_6_ii/,required_records_hz_12.txt,smrf_6_ii,12
