T,Sa
0.01,0.2739783291490353
0.02,0.2756003131882841
0.03,0.28611730373859384
0.05,0.31568509333143824
0.075,0.3939715994803377
0.1,0.482144289226128
0.15,0.5982294008917967
0.2,0.6501122616131708
0.25,0.6610956832715151
0.3,0.6472515637870713
0.4,0.5809550539876221
0.5,0.517151711928711
0.75,0.36859693962322837
1.0,0.27655968243564877
1.5,0.17276086992857417
2.0,0.12057683731973784
3.0,0.07170095335282253
4.0,0.04790295919202185
5.0,0.03418632522900861
7.5,0.017575261404666902
10.0,0.010180709579129484
