T,Sa
0.01,0.4420503229049815
0.02,0.4457632348101524
0.03,0.46217304218688887
0.05,0.4996736626235836
0.075,0.6172757387501296
0.1,0.7515578909345955
0.15,0.9248798520862767
0.2,1.012485133085803
0.25,1.0438399967823575
0.3,1.0372401679144245
0.4,0.9602596362163442
0.5,0.8751327142982602
0.75,0.650644359380851
1.0,0.5063621625110821
1.5,0.3322976339462096
2.0,0.24108684433536284
3.0,0.1521567488862152
4.0,0.10525180057124905
5.0,0.0776381913054051
7.5,0.041099166705311704
10.0,0.024387399842158406
