0.1,-0.308451136037719
0.12,-0.198006507774885
0.14,-0.086209095797584
0.16,0.0016423649284498
0.19,0.100975331404277
0.22,0.160112109803703
0.26,0.213842882385958
0.3,0.264383660423107
0.36,0.285809695354293
0.42,0.30733985627649
0.48,0.330206856373356
0.55,0.317339700458952
0.667,0.279513922364748
0.8,0.253907874100177
0.9,0.247130291389983
1.1,0.199974126336862
1.3,0.125400893858382
1.5,0.062036988688927
1.7,-0.08090376007105
2,-0.266882460795883
2.4,-0.504032172726843
2.8,-0.704708529996103
3.2,-0.889592176136915
3.8,-1.14197331011197
4.6,-1.44126214623423
5.5,-1.76728304811065
6,-1.9425242731466
7.5,-2.38845925481637
8.5,-2.67174449866076
10,-3.03530767627714
