0.1,0.675585200115872
0.12,0.651035513098219
0.14,0.624672538429336
0.16,0.596328909460741
0.19,0.552568051262848
0.22,0.523281603284008
0.26,0.496087704013535
0.3,0.47759965602213
0.36,0.455881746999955
0.42,0.433976786261355
0.48,0.412819830602237
0.55,0.385331147101743
0.667,0.332156746550321
0.8,0.258461475990654
0.9,0.184028682056934
1,1e-05
1.1,0.179331861791798
1.3,0.293860627672744
1.5,0.361140098291233
1.7,0.409206964339481
2,0.461535103651636
2.4,0.511272707409709
2.8,0.547272349732879
3.2,0.573274783369691
3.8,0.600137748166126
4.6,0.624063497403753
5.5,0.638805549801689
6,0.643273498185792
7.5,0.651072555930487
8.5,0.642121150290989
10,0.628344378678239
