0.1,0.908791260950909
0.12,1.03701137640631
0.14,1.20994223680324
0.16,1.3390956294528
0.19,1.47239986267358
0.22,1.5753868041344
0.26,1.69587812716292
0.3,1.82311302581625
0.36,1.96165841474026
0.42,2.08934103670152
0.48,2.21660211070479
0.5,2.25630909119156
0.55,2.15038578233544
0.667,1.93024378358953
0.8,1.73078800678533
0.9,1.61416097428953
1.1,1.34420925131792
1.3,1.06117145600392
1.5,0.82038173658319
1.7,0.610369335150797
2,0.339934571377913
2.4,0.00789597415986631
2.8,-0.269606726179499
3.2,-0.521132919191159
3.8,-0.858444627728006
4.6,-1.24703705166513
5.5,-1.65404622773705
6,-1.8675995163794
7.5,-2.40313040635061
8.5,-2.71926418242816
10,-3.11849834309051
